Student ID,FirstName,MiddleName,LastName,Gender,DateOfBirth,Father'sName,Mother'sName,Father'sDateOfBirth,AddressLine1,AddressLine2,PinCode,PoliceStation,District,State,Father'sOccupation,Mother'sOccupation,Father'sPhone,Mother'sPhone,EmergencyContact,YearOfAdmission,ClassOfAdmission,YearOfTransfer,ClassOfTransfer
10079,Jenna,Michael,Robertson,Male,21-05-2005,Michael,Maria,16-08-1975,161 Jamie Hollow,,61649,,Oklahoma City,Delaware,Social Media Manager,IT Administrator,14368042832,19516482418,16373837275,2023,11,2024,12
10080,Lauren,Andrew,Smith,Female,14-06-2005,Andrew,April,13-05-1980,USS Baker,,29922,,Tucson,Alabama,Customer Service Representative,Pharmacist,18475927810,12466976900,16322296182,2022,11,2023,12
10081,Andrew,Danny,Flores,Male,09-02-2005,Danny,Anne,24-07-1978,793 Brown Spur,,75966,,Boston,Massachusetts,Flight Attendant,Social Media Manager,17381822177,15337296631,17035861080,2022,10,2023,11
10082,Shannon,Eric,Murphy,Male,20-05-2004,Eric,Katherine,23-12-1976,069 Cody Rapid Suite 208,,39309,,Oklahoma City,Louisiana,HR Manager,IT Administrator,19696947283,17975098739,14213399257,2023,9,2024,10
10083,Christopher,Jerry,Li,Female,06-10-2005,Jerry,Nancy,01-03-1978,4561 Ricardo Isle,,27107,,Chicago,Florida,Operations Manager,Real Estate Agent,14758535643,18789397367,11718293744,2022,9,2023,10
10084,Amber,Kevin,Nelson,Male,01-03-2005,Kevin,Pamela,25-09-1975,Unit 8874 Box 5460,,41698,,Columbus,Illinois,Interior Designer,Social Media Manager,17394746585,16674178405,13116053649,2021,10,2022,11
10085,Teresa,Joseph,Mercado,Female,14-05-2004,Joseph,Kathy,15-05-1983,385 James Mission,,48143,,San Diego,Delaware,Librarian,Pharmacist,12716521061,13709373679,11856319132,2022,11,2023,12
10086,Paul,Steven,Cross,Female,17-07-2005,Steven,Jennifer,21-02-1979,03743 Alexander Mills Apt. 883,,52237,,Columbus,Arizona,Lawyer,Pharmacist,12782937158,12568579126,18374911030,2020,11,2021,12
10087,Laura,Timothy,Butler,Female,25-01-2004,Timothy,Terry,22-06-1983,39224 Smith Land,,39302,,"Washington, D.C.",Virginia,Fitness Instructor,Event Planner,12437696935,17593975117,17491215165,2023,10,2024,11
10088,Jennifer,Matthew,Ferguson,Male,17-05-2004,Matthew,Dana,25-09-1981,12943 Mitchell Ford,,46182,,Nashville,Arkansas,Writer,House Wife,14755672036,14332331780,11512884432,2023,9,2024,10
10089,Cindy,Raymond,Dixon,Female,20-12-2004,Raymond,Katherine,31-03-1982,2106 Owens Parks,,70759,,Arlington,Pennsylvania,Data Analyst,House Wife,15934249825,19037023258,13895099803,2021,9,2022,10
10090,Angelica,James,Wells,Male,05-05-2004,James,Brittany,04-02-1977,18915 Berry Lodge Apt. 596,,48810,,Baltimore,Louisiana,Graphic Designer,Social Media Manager,15246306214,19054314041,12107448438,2022,10,2023,11
10091,Corey,Jeffrey,Kidd,Female,12-10-2005,Jeffrey,Diane,22-05-1975,1095 White Square,,71236,,Seattle,Kansas,HR Manager,Event Planner,18584421257,18526363869,11348452157,2020,11,2021,12
10092,Christopher,Steven,Rosales,Female,28-06-2004,Steven,Terri,14-05-1975,2031 Jennifer Pines,,58033,,Jacksonville,Tennessee,Accountant,Event Planner,16907149176,14707211933,19515506932,2020,10,2021,11
10093,Kent,Andrew,Cunningham,Female,01-05-2004,Andrew,Shari,28-12-1981,375 Davis Shoals,,27383,,Chicago,Delaware,Doctor,Real Estate Agent,19823722709,18709156635,16865813258,2021,11,2022,12
10094,Joseph,Maurice,Welch,Male,03-11-2004,Maurice,Linda,01-07-1980,5475 Marisa Junction,,28922,,Denver,Oregon,Journalist,Event Planner,15256135934,17125303051,11483522775,2023,10,2024,11
10095,Nathan,John,Barton,Female,04-04-2005,John,Jacqueline,04-06-1978,008 Teresa Views Apt. 589,,55129,,Arlington,Maryland,Financial Analyst,House Wife,13041699132,19248134660,19586261923,2022,9,2023,10
10096,Mark,Michael,Carr,Male,12-02-2004,Michael,Kimberly,06-05-1979,0176 Knight Pass,,72863,,Colorado Springs,New Mexico,Marketing Specialist,Police Officer,17185419636,12657904394,12447032438,2020,9,2021,10
10097,Lindsey,Jason,Rodgers,Male,25-11-2004,Jason,Jessica,30-11-1979,22170 Jason Drives,,69020,,Los Angeles,Iowa,Sales Manager,Dentist,12845849305,16501206241,13155127523,2021,10,2022,11
10098,Tina,Nicholas,Nelson,Male,30-04-2005,Nicholas,Beth,29-03-1982,2393 Joseph Mission Suite 362,,35121,,Jacksonville,New Mexico,Entrepreneur,IT Administrator,15026466583,19237222821,11568346114,2023,11,2024,12
10099,Jonathan,Joseph,Turner,Female,21-05-2005,Joseph,Lindsey,10-05-1980,587 Pearson Prairie Apt. 855,,59228,,Tulsa,Michigan,Architect,IT Administrator,15619939599,18928479841,12054782356,2022,11,2023,12
10100,Carolyn,Jeffrey,Rice,Female,08-07-2004,Jeffrey,Barbara,27-02-1980,7942 Taylor Drive,,32431,,Nashville,Delaware,Product Manager,Police Officer,11206841314,14961487700,16371556438,2022,10,2023,11
10101,Scott,Antonio,Suarez,Male,18-05-2005,Antonio,Kayla,08-09-1977,Unit 8446 Box 5479,,34963,,Nashville,Mississippi,Entrepreneur,Police Officer,11938067105,18847927246,18466804885,2023,9,2024,10
10102,Melissa,Darryl,Olson,Male,20-01-2004,Darryl,Angela,07-01-1977,981 Barton Village,,58622,,Raleigh,Idaho,Teacher,Pharmacist,16998556984,13171538046,13679116813,2022,9,2023,10
10103,Joshua,Jacob,Nguyen,Female,06-06-2005,Jacob,Amy,26-08-1977,3712 Arnold Square,,47000,,New Orleans,Rhode Island,Teacher,Event Planner,15127454549,11983119165,17559837674,2021,10,2022,11
10104,Kelly,Brian,Petersen,Male,22-09-2004,Brian,Rachel,20-10-1980,04830 Lisa Parks,,72196,,Kansas City,New Hampshire,Photographer,Police Officer,19632565756,12187033211,11006459759,2022,11,2023,12
10105,Megan,James,Lyons,Male,23-07-2004,James,Karen,17-09-1975,185 Reginald Locks Apt. 473,,74074,,Wichita,Louisiana,Insurance Agent,Dentist,13633115516,12151909274,13407462329,2020,11,2021,12
10106,James,Jared,Morgan,Male,10-01-2005,Jared,Monica,08-03-1979,04018 Jeffrey Islands Apt. 707,,57582,,Mesa,North Dakota,Banker,Real Estate Agent,17658326519,17623839220,16323562027,2023,10,2024,11
10107,Darren,Tyler,Weber,Male,08-11-2005,Tyler,Kelly,18-08-1977,99798 Meyer Forest Suite 651,,27524,,Austin,Nevada,Teacher,Police Officer,19731448123,14181438956,15964978131,2023,9,2024,10
10108,Rebecca,Steve,Leblanc,Male,21-06-2004,Steve,Karen,20-05-1978,4039 Jeffery Street,,63080,,Arlington,Texas,Sales Manager,Pharmacist,11702185728,16074753094,12586551126,2021,9,2022,10
10109,Hannah,Dakota,Marshall,Male,02-05-2005,Dakota,Elizabeth,15-07-1975,94385 Cristina Crescent Suite 432,,70672,,Las Vegas,Alabama,Police Officer,IT Administrator,12957982749,14266111821,14111862713,2022,10,2023,11
10110,Steven,Jerry,Garcia,Male,26-03-2004,Jerry,Samantha,11-03-1983,985 Teresa Junction Suite 945,,38462,,Houston,Kansas,Product Manager,Social Media Manager,14672281622,16515342512,17331673641,2020,11,2021,12
10111,Bryan,Grant,Miller,Male,23-11-2004,Grant,Deanna,11-07-1979,50117 Heather Unions Apt. 673,,78190,,Miami,Wisconsin,Graphic Designer,Social Media Manager,12849644063,14422102792,12548857840,2020,10,2021,11
10112,Brett,Guy,Perez,Female,22-07-2005,Guy,Brandy,04-11-1975,4711 Kaiser Lane Apt. 422,,58278,,Sacramento,Nebraska,Project Manager,Social Media Manager,13786182377,11947111292,12943639060,2021,11,2022,12
10113,Vincent,Thomas,Green,Female,11-04-2005,Thomas,Anna,15-06-1983,36242 Stephanie Club Apt. 243,,65918,,Seattle,Hawaii,HR Manager,IT Administrator,17156134011,19843276290,19567919325,2023,10,2024,11
10114,Shawn,Dustin,Johnson,Male,10-01-2004,Dustin,Molly,26-06-1976,68558 Martin Fords Apt. 385,,31592,,Omaha,Wyoming,Doctor,Event Planner,19122784471,11871494251,13702525266,2022,9,2023,10
10115,Katherine,Donald,Martin,Female,31-10-2005,Donald,Ashley,09-04-1978,586 Kimberly Curve,,72037,,Colorado Springs,Texas,Social Media Manager,Event Planner,13517375927,16636407027,15383245936,2020,9,2021,10
10116,Andrea,Jerry,Long,Male,15-12-2005,Jerry,Diane,31-10-1976,243 Reed Shoal Suite 340,,49234,,Baltimore,Nebraska,Marketing Specialist,Police Officer,16792215591,14088746511,17014738417,2021,10,2022,11
10117,John,Xavier,Holmes,Female,22-08-2004,Xavier,Catherine,04-06-1980,1334 Kenneth Cliff,,60844,,Omaha,Washington,Retail Store Manager,Dentist,15095231240,15332205910,11814411795,2023,11,2024,12
10118,Steven,Ruben,Harper,Male,08-06-2004,Ruben,Emma,17-10-1975,2597 Palmer Wells Apt. 334,,54497,,Minneapolis,Maryland,Photographer,Pharmacist,17178245325,12651904446,14335382229,2022,11,2023,12
10119,Trevor,Alejandro,George,Male,26-07-2004,Alejandro,Rebecca,04-12-1978,455 Allen Green Suite 806,,67738,,Kansas City,Connecticut,Data Analyst,Real Estate Agent,19176206475,14522989937,18129189000,2022,10,2023,11
10120,Angela,Jonathan,Ramirez,Female,02-10-2004,Jonathan,Karen,16-04-1982,540 Anderson Heights Apt. 102,,70367,,Las Vegas,Indiana,Product Manager,Event Planner,12274939752,17983288732,17058689584,2023,9,2024,10
10121,Melanie,Chad,Everett,Female,27-02-2005,Chad,Gina,03-01-1979,36265 Williams Bridge,,49101,,Chicago,Kentucky,Chef,House Wife,11651634264,19381581426,11767306256,2022,9,2023,10
10122,Heather,Michael,Russo,Female,24-07-2004,Michael,Tammy,22-02-1982,2162 Long Mountain,,78241,,Long Beach,Missouri,Insurance Agent,House Wife,14327602483,11003446441,18436369042,2021,10,2022,11
10123,Kenneth,Gary,Chandler,Male,10-10-2005,Gary,Susan,26-10-1981,985 Rodgers Station Apt. 300,,57658,,Kansas City,Iowa,Nurse,Real Estate Agent,18693237250,17177371553,16008482840,2022,11,2023,12
